question,reference_context
ใน Cyber วิชา LI 102 003 English III เรียนเกี่ยวกับอะไรครับ,"LI 102 003 ภาษาอังกฤษ 3
 
 3(3-0-6)
 
 English III
 
 เงื่อนไขของรายวิชา : 000 102 หรือ LI 101 002 หรือ เทียบเท่า#
 
 
 
 ทักษะการฟัง พูด อ่าน เขียน เชิงวิชาการ การน าเสนอ การอภิปราย การแสดงความคิดเห็น การ
 
 ตีความการเข้าใจความหมายจากบริบท การจับใจความส าคัญ (โดยรวมเนื้อหาระดับ 3 ถึงระดับ 7)
 
 Academic English skills in listening, speaking, reading, writing, presentation, discussion,
 
 expressing ideas, interpretation, understanding context clues, finding main ideas (Level 3 to 7)"
ใน Cyber วิชา LI 102 004 English IV คือวิชาอะไร,"LI 102 004 ภาษาอังกฤษ 4
 
 3(3-0-6)
 
 English IV
 
 
 
 เงื่อนไขของรายวิชา : 000 103 หรือ LI 102 003 หรือ เทียบเท่า#
 
 
 
 ทักษะการฟัง พูด อ่าน เขียนเชิงวิชาการขั้นสูง การฟังบรรยาย การแสดงความคิดเห็นกับเรื่องราว
 
 ต่าง ๆ การพูดเพื่อโน้มน้าว การรายงานสถานการณ์ การวิเคราะห์ข้อมูลข่าวสาร การเขียนเรียงความ
 
 (โดยรวมเนื้อหาระดับ 4 ถึงระดับ 8)
 
 Listening, speaking, reading and writing skill focusing on academic uses, expressing
 
 opinions on giving themes, inducing speaking, reporting situations, analyzing information, and
 
 essay writing (Level 4 to 8)"
ใน Cyber วิชา CP 422 001 Cybersecurity Law and Ethic คืออะไร,"CP 422 001 กฎหมายและจริยธรรมด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Cybersecurity Law and Ethic
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 ความรู้เบื้องต้นเกี่ยวกับกฎหมายอาญา ตามประมวลกฎหมายอาญาว่าด้วยหลักการทั่วไป เช่น ตัวการ
 
 ผู้ใช้ ผู้สนับสนุน ภาคความผิดที่เกี่ยวข้องกับความรับผิดที่เกี่ยวกับกฎหมายคอมพิวเตอร์ พระราชบัญญัติว่า
 
 ด้วยการกระท าความผิดเกี่ยวกับคอมพิวเตอร์ พระราชบัญญัติธุรกรรมทางอิเล็กทรอนิกส์ รวมถึงประกาศของ
 
 หน่วยงานรัฐบาลที่เกี่ยวข้อง รวมทั้งจริยธรรมในการปฏิบัติการทางไซเบอร์"
ใน Cyber วิชา CP 423 324 Database and Web Security เรียนอะไรครับ,"CP 423 324 ความมั่นคงปลอดภัยฐานข้อมูลและเว็บ
 
 3(2-2-5)
 
 Database and Web Security
 
 
 
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 
 
 แนะน าเกี่ยวกับความมั่นคงปลอดภัยระบบปฏิบัติการ การดูแลโปรไฟล์ผู้ใช้ นโยบายรหัสผ่าน สิทธิ์
 
 และบทบาท โมเดลความปลอดภัยของแอปพลิเคชันฐานข้อมูล โมเดลเชิงสัมพันธ์ที่ปลอดภัยหลายระดับ
 
 แบบจ าลองการควบคุมการเข้าถึง แนะน าเกี่ยวกับความมั่นคงปลอดภัยของเว็บและภาพรวมของภัยคุกคามที่
 
 เกี่ยวข้อง โมเดลความมั่นคงปลอดภัยของเว็บ การรักษาช่องทางการสื่อสาร การป้องกันการเข้าถึงโดยไม่ได้รับ
 
 อนุญาต การจัดการข้อมูลที่ไม่น่าเชื่อถืออย่างมั่นคงปลอดภัย ภาพรวมของแนวทางปฏิบัติที่ดีในปัจจุบัน
 
 ส าหรับการสร้างเว็บแอปพลิเคชันที่ปลอดภัย การฝึกปฏิบัติการความมั่นคงปลอดภัยฐานข้อมูลและเว็บ
 
 Introduction to operating system security, administration of users profiles, password
 
 policies, privileges, and roles, database application security models, multilevel secure
 
 relational model, access control models, introduction to web security and an overview of
 
 relevant threats, the security model of the web, securing the communication channel,
 
 preventing unauthorized access, securely handling untrusted data, overview of current best
 
 practices for building secure web applications, practice in Database and Web Security"
ใน Cyber วิชา CP 423 436 Digital Forensic คือวิชาอะไร,"CP 423 436 นิติดิจิทัล
 
 3(2-2-5)
 
 Digital Forensic
 
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 
 
 การตรวจสอบดิจิทัล หลักฐานดิจิทัล การวิเคราะห์และกู้คืนระบบไฟล์ การวิเคราะห์สื่อ การซ่อน
 
 ข้อมูล การวิเคราะห์การติดตามและกู้คืน นิติระบบ นิติแพลตฟอร์ม นิติเครือข่าย นิติแอปพลิเคชัน นิติ
 
 ฐานข้อมูล นิติเครือข่ายไร้สายและเคลื่อนที่ นิติอินเทอร์เน็ตของสรรพสิ่ง นิติคลาวด์ เครื่องมือและซอฟต์แวร์
 
 นิติ รายงานนิติ ประเด็นกฎหมายทางนิติดิจิทัล หัวข้อพิเศษทางนิติดิจิทัล การฝึกปฏิบัติการนิติดิจิทัล
 
 Digital investigation, digital evidence, file system analysis and recovery, media analysis,
 
 information hiding, trace and recovery analysis, system forensic, platform forensic, network
 
 forensic, application forensic, database forensic, wireless and mobile network forensic,
 
 internet of thing forensic, cloud forensic, forensic software and tool, forensic report, legal
 
 issue in digital forensic, special topic in digital forensic, practice in Digital Forensi"
ใน Cyber วิชา CP 422 641 Artificial Intelligence in Cybersecurity คืออะไร,"CP 422 641 ปัญญาประดิษฐ์ในการรักษาความมั่นคงปลอดภัยไซเบอร์
 
 3(2-2-5)
 
 Artificial Intelligence in Cybersecurity
 
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 
 
 แนวคิด หลักการ ทฤษฎีเกี่ยวกับปัญญาประดิษฐ์ การเรียนรู้ของเครื่อง การเรียนรู้แบบมีผู้สอน การ
 
 เรียนรู้แบบไม่มีผู้สอน ระบบผู้เชี่ยวชาญ การค้นหาและการหาค่าที่เหมาะที่สุด การประยุกต์ใช้งาน
 
 ปัญญาประดิษฐ์ในงานรักษาความมั่นคงปลอดภัยไซเบอร์ การฝึกปฏิบัติการปัญญาประดิษฐ์ในการรักษาความ
 
 มั่นคงปลอดภัยไซเบอร์
 
 Principles, concepts, and theory of artificial intelligence; Machine learning, Supervised
 
 learning, Unsupervised learning, Expert system, Search and optimization, Applications of
 
 artificial intelligence in Cybersecurity, practice in Artificial Intelligence in Cybersecurity"
ใน Cyber วิชา CP 423 642 Modern Cryptography and Cryptanalysis คืออะไร,"CP 423 642 วิทยาการการเข้ารหัสสมัยใหม่และการวิเคราะห์การเข้ารหัส
 
 3(2-2-5)
 
 Modern Cryptography and Cryptanalysis
 
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 
 
 หลักการความปลอดภัยของข้อมูล ภัยคุกคามและการโจมตี พื้นฐานวิทยาการรหัสลับ การวิเคราะห์
 
 การเข้ารหัสลับ วิทยาการรหัสแบบบล็อค วิทยาการรหัสแบบกระแสข้อมูล วิทยาการรหัสลับแบบสมมาตร
 
 และอสมมาตร ฟังก์ชันแฮช การพิสูจน์ตัวตน ลายเซ็นดิจิทัล การประยุกต์ใช้งานวิทยาการรหัสลับ การฝึก
 
 ปฏิบัติการวิทยาการการเข้ารหัสสมัยใหม่และการวิเคราะห์การเข้ารหัส
 
 Principles of data security; Threats and attacks, Introduction to cryptography,
 
 Cryptanalysis, Block cipher, Stream cipher, Symmetric and asymmetric cryptography, Hash
 
 functions, Authentication, Digital signature, Applications of cryptography, practice in Modern
 
 Cryptography and Cryptanalysis"
ใน Cyber วิชา CP 424 732 โครงงานทางความมั่นคงปลอดภัยไซเบอร์ 2 เรียนเกี่ยวกับอะไร,"CP 424 732 โครงงานทางความมั่นคงปลอดภัยไซเบอร์ 2
 
 3(0-9-6)
 
 Cybersecurity Project II
 
 เงื่อนไขของรายวิชา : CP 424 731#
 
 
 
 โครงงานต่อเนื่องมาจากโครงงานทางความมั่นคงปลอดภัยไซเบอร์ 1 ให้เป็นโปรแกรมหรือระบบที่
 
 เสร็จสมบูรณ์และสามารถใช้งานได้จริง นักศึกษาจะต้องจัดท ารายงานและน าเสนอโครงงานซึ่งเป็นการสอบ
 
 ปากเปล่าเกี่ยวกับโครงงานของนักศึกษา
 
 The project continues from Cybersecurity Project II, which focuses on development
 
 and usability of the program or system completely. The students must prepare reports and
 
 give presentation including oral exam on their projects"
ใน Cyber ขอรายละเอียดของวิชา CP 423 321 Software Security หน่อย,"CP 423 321 ความมั่นคงปลอดภัยซอฟต์แวร์
 3(2-2-5)
 Software Security
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 แนะน าเกี่ยวกับความมั่นคงปลอดภัยทางซอฟต์แวร์ ปัญหาความมั่นคงปลอดภัยซอฟต์แวร์ รูปแบบ
 การรับประกันซอฟต์แวร์ เฟรมเวิร์กการบริหารความเสี่ยง แนวปฏิบัติด้านความมั่นคงปลอดภัยที่ดีและ
 ข้อบกพร่องด้านความมั่นคงปลอดภัย การออกแบบและพัฒนาซอฟต์แวร์ที่มีมั่นคงปลอดภัย การทดสอบ
 ความมั่นคงปลอดภัย (การทดสอบเพนน์) การทดสอบความมั่นคงปลอดภัยบนพื้นฐานความเสี่ยง (การ
 ตรวจสอบโค้ด การวิเคราะห์ความเสี่ยงด้านสถาปัตยกรรม) ความมั่นคงปลอดภัยซอฟต์แวร์ในองค์กรขนาด
 ใหญ่ การฝึกปฏิบัติการความมั่นคงปลอดภัยซอฟต์แวร์
 Introduction to software security, software security problems, software assurance
 model, risk management framework, security best practices and security flaws, secure
 software design and development, security testing (Penn testing), risk-based security testing
 (code review, architecture risk analysis), software security in enterprise business, practice in
 Software Security"
ใน Cyber วิชา CP 423 322 Malware Analysis and Protection เรียนเกี่ยวกับอะไรครับ,"CP 423 322 การวิเคราะห์และป้องกันมัลแวร์
 3(2-2-5)
 Malware Analysis and Protection
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 752#
 
 แนะน าเกี่ยวกับมัลแวร์ มัลแวร์ที่พบในปัจจุบัน การวิเคราะห์มัลแวร์ แนะน าการเข้ารหัสของมัลแวร์
 เทคนิคแอนติดีบักกิ้ง เทคนิคแอนติวีเอ็ม การท าโค้ดคลุมเครือ เทคนิคการป้องกันการตรวจจับ อัลกอริทึม
 ตรวจจับมัลแวร์ การประเมินคุณภาพแอนติไวรัส การฝึกปฏิบัติการการวิเคราะห์และป้องกันมัลแวร์
 Introduction to malware, current malicious software, analysis of malicious software,
 introduction to encrypted malware, anti-debugging techniques, anti-VM techniques, code
 obfuscation, techniques of protection against detection, malware detection algorithm,
 antivirus quality estimation, practice in Malware Analysis and Protection"
ใน Cyber วิชา CP 423 323 Social Network Analysis มีเงื่อนไขรายวิชาไหม,"CP 423 323 การวิเคราะห์เครือข่ายสังคม
 
 3(2-2-5)
 
 Social Network Analysis
 
 เงื่อนไขของรายวิชา : CP 422 031 หรือ เทียบเท่า หรือ CP 423 751#
 
 
 
 แนะน าเกี่ยวกับการวิเคราะห์เครือข่ายสังคม ทฤษฎีกราฟ แบบจ าลองเครือข่าย การท าเหมืองกราฟ
 
 ส าหรับการวิเคราะห์เครือข่ายสังคม การสร้างแบบจ าลองเชิงท านาย อิทธิพลในเครือข่ายสังคมออนไลน์ การ
 
 วิเคราะห์ความรู้สึก ค าแนะน าในเครือข่ายสังคม กรณีศึกษาการวิเคราะห์เครือข่ายสังคม การสร้างภาพ
 
 เครือข่ายสังคม การฝึกปฏิบัติการการวิเคราะห์เครือข่ายสังคม
 
 Introduction to social network analysis, graph theory, network models, graph mining
 
 for social network analysis, predictive modeling, influence in social networks, sentiment
 
 analysis, recommendation in social networks, social network analysis case studies, social
 
 networks visualization, practice in Social Network Analysi"
